,index,DayPrecip,DayAirTmpMin,DayAirTmpMax,DayEto,DayAirTmpAvg,DaySolRadAvg,DayWindSpdAvg,Eto_values,Kc_values,Etc_values,Etc_cum,Soil_Water_Deficit,Soil_Water_Deficit_cum
77,2018-03-20,0.39,46.7,54.6,0.01,51.4,71.0,3.1,0.01,0.5678328696600611,0.005678328696600611,2.67957582225413,0.3843216713033994,4.640424177745868
78,2018-03-21,0.47,51.6,62.3,0.01,56.1,103.0,1.7,0.02,0.569979368253854,0.01139958736507708,2.690975409619207,0.4586004126349229,5.099024590380791
79,2018-03-22,0.38,37.2,60.7,0.09,53.7,346.0,3.0,0.08,0.5721258668476469,0.04577006934781175,2.7367454789670185,0.33422993065218826,5.433254521032979
80,2018-03-23,0.24,33.1,61.4,0.11,47.8,399.0,3.2,0.1,0.5520207802871593,0.055202078028715934,2.7919475569957344,0.18479792197128406,5.618052443004263
81,2018-03-24,0.02,35.8,59.5,0.09,46.4,357.0,1.7,0.08,0.5319156937266717,0.042553255498133734,2.834500812493868,-0.022553255498133733,5.595499187506129
82,2018-03-25,0.17,32.9,61.1,0.09,44.9,370.0,2.1,0.08,0.5118106071661841,0.04094484857329473,2.875445661067163,0.1290551514267053,5.724554338932834
83,2018-03-26,0.0,33.0,71.0,0.14,50.6,472.0,1.9,0.13,0.49170552060569644,0.06392171767874054,2.9393673787459034,-0.06392171767874054,5.660632621254094
84,2018-03-27,0.0,43.7,74.7,0.15,59.4,460.0,2.4,0.14,0.47160043404520885,0.06602406076632925,3.0053914395122328,-0.06602406076632925,5.594608560487765
85,2018-03-28,0.0,41.6,78.4,0.14,58.3,462.0,1.1,0.13,0.4514953474847212,0.05869439517301376,3.0640858346852466,-0.05869439517301376,5.535914165314751
86,2018-03-29,0.0,43.8,81.9,0.15,60.5,469.0,1.3,0.14,0.4313902609242336,0.06039463652939271,3.1244804712146395,-0.06039463652939271,5.475519528785359
87,2018-03-30,0.0,43.7,79.1,0.12,60.7,385.0,1.1,0.11,0.411285174363746,0.045241369180012064,3.1697218403946517,-0.045241369180012064,5.430278159605347
88,2018-03-31,0.0,42.9,73.7,0.14,55.7,438.0,2.6,0.13,0.4319644714394176,0.05615538128712429,3.225877221681776,-0.05615538128712429,5.374122778318223
89,2018-04-01,0.0,42.7,74.8,0.14,56.3,446.0,2.5,0.13,0.45264376851508914,0.05884368990696159,3.284720911588738,-0.05884368990696159,5.315279088411262
90,2018-04-02,0.0,41.2,71.7,0.14,55.5,478.0,1.7,0.13,0.47332306559076065,0.06153199852679889,3.346252910115537,-0.06153199852679889,5.253747089884463
91,2018-04-03,0.0,39.0,69.4,0.14,54.0,487.0,2.8,0.13,0.4940023626664322,0.0642203071466362,3.4104732172621732,-0.0642203071466362,5.189526782737827
92,2018-04-04,0.0,44.8,70.2,0.11,55.1,394.0,2.2,0.11,0.5146816597421038,0.05661498257163142,3.4670881998338046,-0.05661498257163142,5.1329118001661955
93,2018-04-05,0.25,48.7,61.2,0.04,55.0,172.0,2.3,0.04,0.5353609568177753,0.02141443827271101,3.4885026381065156,0.228585561727289,5.361497361893485
94,2018-04-06,2.41,55.5,60.9,0.0,58.7,83.0,1.8,0.01,0.5560402538934468,0.005560402538934468,3.4940630406454503,2.4044395974610655,7.76593695935455
95,2018-04-07,0.55,50.1,66.5,0.12,59.1,425.0,1.8,0.11,0.5767195509691184,0.06343915060660303,3.5575021912520532,0.486560849393397,8.252497808747947
96,2018-04-08,0.0,43.9,68.0,0.13,54.4,481.0,1.4,0.13,0.5708957826531876,0.0742164517449144,3.6317186429969674,-0.0742164517449144,8.178281357003032
97,2018-04-09,0.0,42.3,75.7,0.13,58.9,452.0,1.9,0.13,0.565072014337257,0.0734593618638434,3.705178004860811,-0.0734593618638434,8.104821995139188
98,2018-04-10,0.0,45.7,64.2,0.05,55.6,226.0,2.2,0.06,0.5592482460213262,0.03355489476127957,3.7387328996220903,-0.03355489476127957,8.07126710037791
99,2018-04-11,0.11,41.6,62.1,0.07,50.8,282.0,2.5,0.07,0.5534244777053954,0.03873971343937768,3.777472613061468,0.07126028656062232,8.142527386938532
100,2018-04-12,0.0,35.3,60.9,0.13,48.9,487.0,2.5,0.12,0.5476007093894646,0.06571208512673575,3.843184698188204,-0.06571208512673575,8.076815301811797
101,2018-04-13,0.0,35.5,71.6,0.15,53.1,507.0,1.6,0.14,0.5417769410735338,0.07584877175029474,3.919033469938499,-0.07584877175029474,8.000966530061502
102,2018-04-14,0.0,41.8,74.5,0.16,56.7,512.0,2.2,0.15,0.5359531727576031,0.08039297591364046,3.9994264458521394,-0.08039297591364046,7.920573554147862
103,2018-04-15,0.17,39.9,64.1,0.07,50.2,284.0,2.8,0.07,0.5301294044416723,0.03710905831091707,4.036535504163057,0.13289094168908294,8.053464495836945
